"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"302","287","Reproductive Health","Medical Health","3","N","","","","","","","","",""
"303","302","Birth Control","Medical Health","4","N","","","","","","","","",""
"304","302","Infertility","Medical Health","4","N","","","","","","","","",""
"305","302","Pregnancy","Medical Health","4","N","","","","","","","","",""
"306","287","Blood Disorders","Medical Health","3","N","","","","","","","","",""
"307","287","Sexual Health","Medical Health","3","N","","","","","","","","",""
"308","307","Sexual Conditions","Medical Health","4","N","","","","","","","","",""
"309","287","Skin and Dermatology","Medical Health","3","N","","","","","","","","",""
"310","287","Sleep Disorders","Medical Health","3","N","","","","","","","","",""
"311","287","Substance Abuse","Medical Health","3","N","","","","","","","","",""
"312","287","Bone and Joint Conditions","Medical Health","3","N","","","","","","","","",""
"313","287","Brain and Nervous System Disorders","Medical Health","3","N","","","","","","","","",""
"314","287","Cancer","Medical Health","3","N","","","","","","","","",""
"315","287","Cold and Flu","Medical Health","3","N","","","","","","","","",""
"316","287","Dental Health","Medical Health","3","N","","","","","","","","",""
"317","287","Diabetes","Medical Health","3","N","","","","","","","","",""
"318","287","Digestive Disorders","Medical Health","3","N","","","","","","","","",""
"319","286","Medical Tests","Medical Health","2","N","","","","","","","","",""
"320","286","Pharmaceutical Drugs","Medical Health","2","N","","","","","","logos for all relevant brands","","","medical_injectibles"
"321","286","Surgery","Medical Health","2","N","","","","","","","","",""
"322","286","Vaccines","Medical Health","2","N","","","","","","","","",""
"323","286","Cosmetic Medical Services","Medical Health","2","N","","","","","","","","",""
"654","653","Travel Accessories","Travel","2","Y","","suitcases, backpacks, sleep masks","suitcase","","","","","3/9/2021",""
"325","324","Action and Adventure Movies","Movies","2","N","","","","","","","","",""
"326","324","Romance Movies","Movies","2","N","","","","","","","","",""
"327","324","Science Fiction Movies","Movies","2","N","","","","","","","","",""
"328","324","Special Interest Movies","Movies","2","N","","","","","","","","",""
"329","324","Animation Movies","Movies","2","N","","","","","","","","",""
"330","324","Comedy Movies","Movies","2","N","","","","","","","","",""
"331","324","Crime and Mystery Movies","Movies","2","N","","","","","","","","",""
"332","324","Documentary Movies","Movies","2","N","","","","","","","","",""
"333","324","Drama Movies","Movies","2","N","","","","","","","","",""
"334","324","Family and Children Movies","Movies","2","N","","","","","","","","",""
"335","324","Fantasy Movies","Movies","2","N","","","","","","","","",""
"336","324","Horror Movies","Movies","2","N","","","","","","","","",""
"337","324","World Movies","Movies","2","N","","","","","","","","",""
"655","653","Travel Locations","Travel","2","Y","","","","","","","","3/9/2021",""
"339","338","Adult Contemporary Music","Music and Audio","2","N","","","","","","","","",""
"340","339","Soft AC Music","Music and Audio","3","N","","","","","","","","",""
"341","339","Urban AC Music","Music and Audio","3","N","","","","","","","","",""
"342","338","Adult Album Alternative","Music and Audio","2","N","","","","","","","","",""
"343","338","Alternative Music","Music and Audio","2","N","","","","","","","","",""
"344","338","Children's Music","Music and Audio","2","N","","","","","","","","",""
"345","338","Classic Hits","Music and Audio","2","N","","","","","","","","",""
"346","338","Classical Music","Music and Audio","2","N","","","","","","","","",""
"347","338","College Radio","Music and Audio","2","N","","","","","","","","",""
"348","338","Comedy (Music and Audio)","Music and Audio","2","N","","","","","","","","",""
"349","338","Contemporary Hits/Pop/Top 40","Music and Audio","2","N","","","","","","","","",""
"350","338","Country Music","Music and Audio","2","N","","","","","","","","",""
"351","338","Dance and Electronic Music","Music and Audio","2","N","","","","","","","","",""
"352","338","World/International Music","Music and Audio","2","N","","","","","","","","",""
"353","338","Songwriters/Folk","Music and Audio","2","N","","","","","","","","",""
"354","338","Gospel Music","Music and Audio","2","N","","","","","","","","",""
"355","338","Hip Hop Music","Music and Audio","2","N","","","","","","","","",""
"356","338","Inspirational/New Age Music","Music and Audio","2","N","","","","","","","","",""
"357","338","Jazz","Music and Audio","2","N","","","","","","","","",""
"358","338","Oldies/Adult Standards","Music and Audio","2","N","","","","","","","","",""
"359","338","Reggae","Music and Audio","2","N","","","","","","","","",""
"360","338","Blues","Music and Audio","2","N","","","","","","","","",""
"361","338","Religious (Music and Audio)","Music and Audio","2","N","","","","","","","","",""
"362","338","R&B/Soul/Funk","Music and Audio","2","N","","","","","","","","",""
"363","338","Rock Music","Music and Audio","2","N","","","","","","","","",""
"364","363","Album-oriented Rock","Music and Audio","3","N","","","","","","","","",""
"365","363","Alternative Rock","Music and Audio","3","N","","","","","","","","",""
"366","363","Classic Rock","Music and Audio","3","N","","","","","","","","",""
"367","363","Hard Rock","Music and Audio","3","N","","","","","","","","",""
"368","363","Soft Rock","Music and Audio","3","N","","","","","","","","",""
