materialId,lastRunJob
GMO_00000000006978_01,FILE_MAF_20210728T162827Z_GMO_00000000006978_01
GMO_00000000006995_01,FILE_MAF_20210728T162827Z_GMO_00000000006995_01
GMO_00000000006803_01,FILE_MAF_20210728T162828Z_GMO_00000000006803_01
GMO_00000000006906_01,FILE_MAF_20210728T162828Z_GMO_00000000006906_01
GMO_00000000006996_01,FILE_MAF_20210728T162828Z_GMO_00000000006996_01
GMO_00000000007082_01,FILE_MAF_20210728T162828Z_GMO_00000000007082_01
GMO_00000000006952_01,FILE_MAF_20210728T162829Z_GMO_00000000006952_01
GMO_00000000007029_01,FILE_MAF_20210728T162829Z_GMO_00000000007029_01
GMO_00000000006874_01,FILE_MAF_20210728T162830Z_GMO_00000000006874_01
GMO_00000000006997_01,FILE_MAF_20210728T162830Z_GMO_00000000006997_01
GMO_00000000007091_01,FILE_MAF_20210728T162830Z_GMO_00000000007091_01
GMO_00000000007007_01,FILE_MAF_20210728T162831Z_GMO_00000000007007_01
GMO_00000000007115_01,FILE_MAF_20210728T162831Z_GMO_00000000007115_01
GMO_00000000007014_01,FILE_MAF_20210728T163031Z_GMO_00000000007014_01
GMO_00000000007010_01,FILE_MAF_20210728T163132Z_GMO_00000000007010_01
GMO_00000000007020_01,FILE_MAF_20210728T163132Z_GMO_00000000007020_01
GMO_00000000007086_01,FILE_MAF_20210728T163132Z_GMO_00000000007086_01
GMO_00000000007129_01,FILE_MAF_20210728T163132Z_GMO_00000000007129_01
GMO_00000000007039_01,FILE_MAF_20210728T163133Z_GMO_00000000007039_01
GMO_00000000007104_01,FILE_MAF_20210728T163133Z_GMO_00000000007104_01
GMO_00000000007120_01,FILE_MAF_20210728T163133Z_GMO_00000000007120_01
GMO_00000000007024_01,FILE_MAF_20210728T163134Z_GMO_00000000007024_01
GMO_00000000007137_01,FILE_MAF_20210728T163134Z_GMO_00000000007137_01
GMO_00000000007140_01,FILE_MAF_20210728T163134Z_GMO_00000000007140_01
GMO_00000000007021_01,FILE_MAF_20210728T163135Z_GMO_00000000007021_01
GMO_00000000007128_01,FILE_MAF_20210728T163135Z_GMO_00000000007128_01
GMO_00000000007144_01,FILE_MAF_20210728T163135Z_GMO_00000000007144_01
GMO_00000000007033_01,FILE_MAF_20210728T163336Z_GMO_00000000007033_01
GMO_00000000007056_01,FILE_MAF_20210728T163536Z_GMO_00000000007056_01
GMO_00000000007034_01,FILE_MAF_20210728T163637Z_GMO_00000000007034_01
GMO_00000000007042_01,FILE_MAF_20210728T163637Z_GMO_00000000007042_01
GMO_00000000007097_01,FILE_MAF_20210728T163637Z_GMO_00000000007097_01
